Source,Target,Type,Id,Label,Weight
moeka,lilydjwg,Directed,917,,1.0
moeka,lanlingyeyu,Directed,1172,,1.0
ding-shi-zheng,jixin,Directed,18732,,1.0
ding-shi-zheng,lycheeorange,Directed,112,,1.0
imingodsrange,lycheeorange,Directed,113,,1.0
lao-zuo,lycheeorange,Directed,114,,1.0
404_,lycheeorange,Directed,115,,1.0
yinxiang9z,lycheeorange,Directed,116,,1.0
swordsp-applecore,lycheeorange,Directed,117,,1.0
luckystar,marukochan,Directed,11628,,1.0
luckystar,lycheeorange,Directed,118,,1.0
luckystar,miaomiaomiao,Directed,7639,,1.0
luckystar,oxygen,Directed,1674,,1.0
luckystar,xiao-peng-fei-86,Directed,2640,,1.0
luckystar,zihaolucky,Directed,3142,,1.0
luckystar,shi-le-tian-38,Directed,11474,,1.0
yangfan,jixin,Directed,21395,,1.0
yangfan,lycheeorange,Directed,119,,1.0
yangfan,gongjun,Directed,4712,,1.0
sizhuren,jixin,Directed,13512,,1.0
sizhuren,marukochan,Directed,11506,,1.0
sizhuren,lycheeorange,Directed,120,,1.0
sizhuren,wang-zhen-lei-57,Directed,3579,,1.0
sizhuren,miaomiaomiao,Directed,6680,,1.0
sizhuren,oxygen,Directed,1634,,1.0
sizhuren,kant,Directed,2816,,1.0
sizhuren,om19,Directed,11855,,1.0
sizhuren,she-zhao-zhuo,Directed,5895,,1.0
sizhuren,welljessie,Directed,12288,,1.0
sizhuren,chengbailao,Directed,8828,,1.0
nan-han,lycheeorange,Directed,121,,1.0
nan-han,lanlingyeyu,Directed,1357,,1.0
tang-fei-hu,lycheeorange,Directed,122,,1.0
fkysly,lycheeorange,Directed,123,,1.0
fkysly,oxygen,Directed,1545,,1.0
bloodyxu,jixin,Directed,19438,,1.0
bloodyxu,lycheeorange,Directed,124,,1.0
bloodyxu,wang-zhen-lei-57,Directed,3627,,1.0
fangke,jixin,Directed,20566,,1.0
fangke,lycheeorange,Directed,125,,1.0
ohdearjohn,jixin,Directed,13841,,1.0
ohdearjohn,lycheeorange,Directed,126,,1.0
ohdearjohn,wang-zhen-lei-57,Directed,3801,,1.0
ohdearjohn,oxygen,Directed,1713,,1.0
ohdearjohn,gongjun,Directed,3964,,1.0
yunshu,jixin,Directed,15434,,1.0
yunshu,lycheeorange,Directed,127,,1.0
yunshu,wang-zhen-lei-57,Directed,3780,,1.0
yunshu,miaomiaomiao,Directed,6976,,1.0
yunshu,oxygen,Directed,1558,,1.0
yunshu,kant,Directed,2835,,1.0
yunshu,cheng-yi-nan,Directed,6394,,1.0
yunshu,zi-liu,Directed,5120,,1.0
yunshu,chengbailao,Directed,8687,,1.0
sherrylimusic,jixin,Directed,14946,,1.0
sherrylimusic,daguo,Directed,3902,,1.0
sherrylimusic,lycheeorange,Directed,128,,1.0
sherrylimusic,wang-zhen-lei-57,Directed,3699,,1.0
sherrylimusic,miaomiaomiao,Directed,6733,,1.0
sherrylimusic,oxygen,Directed,1657,,1.0
sherrylimusic,kant,Directed,2908,,1.0
sherrylimusic,she-zhao-zhuo,Directed,5936,,1.0
lilew,jixin,Directed,13098,,1.0
lilew,lycheeorange,Directed,129,,1.0
lilew,lanlingyeyu,Directed,1204,,1.0
lilew,kant,Directed,2897,,1.0
ren-xing-xing-99,lycheeorange,Directed,130,,1.0
xiao-jing-mo,lycheeorange,Directed,131,,1.0
xiao-jing-mo,wang-zhen-lei-57,Directed,3683,,1.0
wuye9036,lycheeorange,Directed,132,,1.0
wuye9036,miaomiaomiao,Directed,7051,,1.0
neal-88,lycheeorange,Directed,133,,1.0
zhang-yihong,jixin,Directed,15875,,1.0
