Source,Target,Type,Id,Label,Weight
142,43,Directed,140,,1.0
142,49,Directed,3708,,1.0
142,720,Directed,1624,,1.0
143,43,Directed,141,,1.0
144,5,Directed,19486,,1.0
144,12,Directed,12567,,1.0
144,43,Directed,142,,1.0
144,653,Directed,8560,,1.0
144,720,Directed,2306,,1.0
145,43,Directed,143,,1.0
145,49,Directed,3707,,1.0
145,2573,Directed,3065,,1.0
146,5,Directed,13432,,1.0
146,43,Directed,144,,1.0
146,572,Directed,6704,,1.0
146,2600,Directed,3167,,1.0
147,43,Directed,145,,1.0
147,720,Directed,1560,,1.0
148,43,Directed,146,,1.0
148,49,Directed,3644,,1.0
148,572,Directed,7217,,1.0
148,1088,Directed,1271,,1.0
148,2692,Directed,3278,,1.0
148,4252,Directed,5975,,1.0
148,5007,Directed,12429,,1.0
149,43,Directed,147,,1.0
149,49,Directed,3751,,1.0
150,43,Directed,148,,1.0
150,49,Directed,3724,,1.0
151,5,Directed,13826,,1.0
151,43,Directed,149,,1.0
151,572,Directed,7139,,1.0
151,720,Directed,1519,,1.0
151,860,Directed,969,,1.0
151,1088,Directed,1173,,1.0
152,43,Directed,150,,1.0
153,5,Directed,13902,,1.0
153,43,Directed,151,,1.0
153,597,Directed,3348,,1.0
154,5,Directed,13625,,1.0
154,43,Directed,152,,1.0
155,5,Directed,15036,,1.0
155,43,Directed,153,,1.0
156,5,Directed,13008,,1.0
156,43,Directed,154,,1.0
156,49,Directed,3694,,1.0
156,572,Directed,7133,,1.0
156,1088,Directed,1183,,1.0
156,4689,Directed,12099,,1.0
156,5007,Directed,12425,,1.0
157,43,Directed,155,,1.0
158,43,Directed,156,,1.0
158,572,Directed,7059,,1.0
159,5,Directed,20204,,1.0
159,43,Directed,157,,1.0
159,720,Directed,2269,,1.0
160,5,Directed,13470,,1.0
160,43,Directed,158,,1.0
161,43,Directed,159,,1.0
161,572,Directed,7000,,1.0
161,653,Directed,8202,,1.0
161,720,Directed,1737,,1.0
161,1088,Directed,1177,,1.0
161,1109,Directed,2820,,1.0
161,8327,Directed,11487,,1.0
162,5,Directed,21601,,1.0
162,10,Directed,12153,,1.0
162,12,Directed,12612,,1.0
162,43,Directed,160,,1.0
162,720,Directed,2504,,1.0
162,2246,Directed,4785,,1.0
162,3739,Directed,4994,,1.0
162,3792,Directed,5000,,1.0
162,3993,Directed,5518,,1.0
163,5,Directed,13490,,1.0
163,43,Directed,161,,1.0
163,49,Directed,3597,,1.0
163,4252,Directed,5912,,1.0
164,5,Directed,17370,,1.0
164,43,Directed,162,,1.0
164,653,Directed,8276,,1.0
164,720,Directed,1882,,1.0
164,1232,Directed,6480,,1.0
164,2600,Directed,3193,,1.0
164,3739,Directed,4954,,1.0
165,43,Directed,163,,1.0
166,43,Directed,164,,1.0
166,2600,Directed,3157,,1.0
167,43,Directed,165,,1.0
168,43,Directed,166,,1.0
169,43,Directed,167,,1.0
170,43,Directed,168,,1.0
171,5,Directed,14941,,1.0
171,43,Directed,169,,1.0
171,5868,Directed,11168,,1.0
172,43,Directed,170,,1.0
173,43,Directed,171,,1.0
174,43,Directed,172,,1.0
174,860,Directed,1009,,1.0
175,5,Directed,13641,,1.0
175,43,Directed,173,,1.0
175,49,Directed,3710,,1.0
175,2600,Directed,3144,,1.0
175,3739,Directed,4897,,1.0
175,5007,Directed,12355,,1.0
176,43,Directed,174,,1.0
177,43,Directed,175,,1.0
178,5,Directed,16948,,1.0
178,43,Directed,176,,1.0
